movie_ID,movie_URL,movie_title,movie_rating,movie_year,movie_genres,movie_duration,credits_URL,directed_by,written_by,actors
tt0195063,https://www.imdb.com/title/tt0195063,Meu Pé de Laranja Lima,7.1,1970,"['Drama', 'Família']",95.0,https://www.imdb.com/title/tt0195063/fullcredits,['Aurélio Teixeira'],"['Braz Chediak', 'Aurélio Teixeira', 'José Mauro de Vasconcelos']","['Júlio César Cruz', 'Aurélio Teixeira', 'Henrique José Leal', 'Leilane Chediak', 'Júlio Hofacker', 'Janet Chermont', 'Iva West', 'Elisa Fernandes', 'Catulo De Paula', 'Jorge Luiz Trannin', 'Vitório Veríssimo', 'Maria Gladys', 'Rubens Abreu', 'Maria Helena Lott']"
tt0122329,https://www.imdb.com/title/tt0122329,Éxtasis tropical,4.4,1970,['Drama'],67.0,https://www.imdb.com/title/tt0122329/fullcredits,['Armando Bo'],['Armando Bo'],"['Isabel Sarli', 'Bentinho', 'Armando Bo', 'Egídio Eccio', 'Heitor Gaiotti', 'Miguel A. Olmos']"
tt0062690,https://www.imdb.com/title/tt0062690,O Ritual dos Sádicos,5.9,1970,"['Drama', 'Terror']",93.0,https://www.imdb.com/title/tt0062690/fullcredits,['José Mojica Marins'],"['Rubens Francisco Luchetti', 'José Mojica Marins']","['José Mojica Marins', 'Ângelo Assunção', 'Ronaldo Beibe', 'Andreia Bryan', 'João Callegaro', 'Ozualdo Ribeiro Candeias', 'Maurice Capovilla', 'José Carlos', 'Maria Cristina', 'Emília Duarte', 'Jaciara Ducena', 'Jairo Ferreira', 'Jandira Gabriel', 'Graveto', 'Wanderley Grilo', 'Sérgio Hingst', 'Mário Lima', 'Annik Malvil', 'Márcio Marcel', 'Stela Maris', 'Cláudio Marques', 'Dante Miná', 'Paulo Morandy', 'Ítala Nandi', 'Helena Nogueira', 'Palito', 'Walter Portela', 'Carlos Reichenbach', 'Luiz Renato', 'Lurdes Ribas', 'Araken Saldanha', 'Rosemeire Thiago', 'Roney Wanderley']"
tt0064863,https://www.imdb.com/title/tt0064863,Quelé do Pajeú,7.4,1970,"['Aventura', 'Policial', 'Drama']",115.0,https://www.imdb.com/title/tt0064863/fullcredits,['Anselmo Duarte'],"['Lima Barreto', 'Lima Barreto', 'Anselmo Duarte', 'Anselmo Duarte']","['Tarcísio Meira', 'Rossana Ghessa', 'Jece Valadão', 'Sérgio Hingst', 'Guy Loup', 'Luiz Alberto Meireles', 'Elizângela', 'Anita Esbano', 'Simplício', 'Ravina', 'Mauricio Gracco', 'Jorge Karan', 'Regina Duarte', 'Nhô Juca', 'Reginaldo Vieira', 'Pedro Ferreira', 'Alcindo Rodrigues de Moraes', 'Dullio Scalise', 'Ivo Silveira', 'Francisco Ferreira', 'José Ricciardi', 'Carlinhos Cabral', 'Geraldo Vandré', 'Hilton Acioly', 'Marconi Campos', 'Bering de Campos Leiros']"
tt0064582,https://www.imdb.com/title/tt0064582,O Leão de Sete Cabeças,6.4,1970,['Drama'],103.0,https://www.imdb.com/title/tt0064582/fullcredits,['Glauber Rocha'],"['Gianni Amico', 'Glauber Rocha']","['Rada Rassimov', 'Giulio Brogi', 'Gabriele Tinti', 'Jean-Pierre Léaud', 'Aldo Bixio', 'Baiack', 'Reinhard Kolldehoff', 'Hugo Carvana', 'Segolo Dia Manungu', 'Miguel', ""Pascal N'Zonzi"", 'Rosa Maria Penna', 'Andre Segolo']"
tt0189887,https://www.imdb.com/title/tt0189887,O Palácio dos Anjos,6.9,1970,['Drama'],96.0,https://www.imdb.com/title/tt0189887/fullcredits,['Walter Hugo Khouri'],['Walter Hugo Khouri'],"['Geneviève Grad', 'Luc Merenda', 'Rossana Ghessa', 'Adriana Prieto', 'Norma Bengell', 'Elza Besti', 'Zózimo Bulbul', 'Pierre Celler', 'Elza De Castro', 'Joana Fomm', 'Pedro Paulo Hatheyer', 'John Herbert', 'Sérgio Hingst', 'Hugo Land', 'Mário Maizzo', 'Miriam Mayo', 'Célia Padilha', 'Rosa Padilha', 'Alberto Ruschel', 'Bibiana Torino']"
tt0260354,https://www.imdb.com/title/tt0260354,"Sem Essa, Aranha",6.6,1970,['Comédia'],102.0,https://www.imdb.com/title/tt0260354/fullcredits,['Rogério Sganzerla'],['Rogério Sganzerla'],"['Helena Ignez', 'Jorge Loredo', 'Maria Gladys', 'Luiz Gonzaga', 'Moreira da Silva', 'Aparecida', 'Neville de Almeida', 'Lelé', 'Guará Rodrigues']"
tt0065631,https://www.imdb.com/title/tt0065631,Os Deuses e os Mortos,6.4,1970,['Drama'],97.0,https://www.imdb.com/title/tt0065631/fullcredits,['Ruy Guerra'],"['Ruy Guerra', 'Flávio Império', 'Paulo José']","['Norma Bengell', 'Othon Bastos', 'Ítala Nandi', 'Nelson Xavier', 'Ruy Polanah', 'Jorge Chaia', 'Freddy Kleemann', 'Mara Rúbia', 'Milton Nascimento', 'Vera Bocayuva', 'Aulo Carvalho', 'Monsueto', 'Gilberto Sabóia', 'Vinícius Salvatori', 'Dina Sfat', 'Roberto Tavares']"
tt0259944,https://www.imdb.com/title/tt0259944,Copacabana Mon Amour,6.7,1970,['Comédia'],85.0,https://www.imdb.com/title/tt0259944/fullcredits,['Rogério Sganzerla'],['Rogério Sganzerla'],"['Helena Ignez', 'Paulo Villaça', 'Guará Rodrigues', 'Otoniel Serra', 'Joãozinho da Goméia', 'Laura Galano', 'Lilian Lemmertz']"
tt0196746,https://www.imdb.com/title/tt0196746,Memórias de um Gigolô,5.5,1970,['Comédia'],90.0,https://www.imdb.com/title/tt0196746/fullcredits,['Alberto Pieralisi'],"['Alberto Pieralisi', 'Marcos Rey']","['Cláudio Cavalcanti', 'Rossana Ghessa', 'Jece Valadão', 'Fábio Sabag', 'Afonso Stuart', 'Milton Carneiro', 'Neuza Amaral', 'Mara Carvalho Ferro', 'Almir Look', 'Roberto Argolo', 'Leda Valle', 'Angelito Mello', 'Joseph Guerreiro', 'Paulo Serrano', 'Fernando José', 'Watusi', 'Estelita Bell', 'Larry Carr', 'Antônio do Cabo', 'Elza Gomes', 'Lia Maria', 'Antonio Patiño', 'Vera Regina', 'Antônio Teixeira', 'Joaquim Teodoro', 'Sérgio Vanick']"
