movie_ID,actors
tt0159294,José Lewgoy
tt0159294,Maria Pompeu
tt0159294,Henriqueta Brieba
tt0159294,Milton Vilar
tt0159294,André José Adler
tt0159294,Jorge Adler
tt0159294,Laura Galano
tt0159294,José Tavares
tt0200942,Antônio Marcos
tt0200942,Lúcia Alves
tt0200942,Ivan Bittencourt
tt0200942,Milton Carneiro
tt0200942,Flávio Migliaccio
tt0200942,Jorge Dória
tt0200942,Maria Pompeu
tt0200942,Afonso Stuart
tt0200942,Zeni Pereira
tt0200942,Gisela Burghart
tt0200942,Francisco Dantas
tt0200942,Ângelo Antônio
tt0200942,Ivan Setta
tt0200942,Martinho da Vila
tt0200942,Danton Jardim
tt0200942,Laura Galano
tt0200942,Carvalhinho
tt0200942,Fernando José
tt0200942,Ginaldo de Souza
tt0200942,Roberto Soares
tt0200942,Alberto Prado
tt0200942,Carlos Rodolfo
tt0200942,Sérgio Leandro
tt0200942,Rosamaria Rocha
tt0200942,Déa Peçanha
tt0200942,Carlos Marcos
tt0200942,Jorge Thomas
tt0200942,Ana Campista
tt0200942,Chacrinha
tt0200942,Débora Duarte
tt0200942,Gilvan Pereira
tt0240374,Luis Gustavo
tt0240374,Plínio Marcos
tt0240374,Cleyde Yáconis
tt0240374,Paulo Villaça
tt0240374,Marilda Pedroso
tt0240374,Terry Della Stuffa
tt0240374,Ana Paula Giaquito
tt0240374,Dora Azevedo Marques
tt0240374,Milton Medina
tt0240374,Alvaro Souza Barros
tt0240374,Rogério D'Elia
tt0240374,Otelo Zeloni
tt0240374,Lélia Abramo
tt0240374,Machadinho
tt0240374,Edgard
tt0240374,Raul Cortez
tt0240374,Walmor Chagas
tt0240374,Clodovil
tt0240374,Marilu Martinelli
tt0240374,Márcia Mendes
tt0240374,Carmen Monegal
tt0240374,Ana Lúcia Bastos Santos
tt0181949,Maria Gladys
tt0181949,Wilson Grey
tt0181949,Helena Ignez
tt0181949,Grande Otelo
tt0181949,Poty
tt0181949,Guará Rodrigues
tt0181949,Kleber Santos
tt0236165,Flávio Migliaccio
tt0236165,Leila Diniz
tt0236165,Irene Stefânia
tt0236165,Marília Pêra
tt0236165,Márcia Rodrigues
tt0236165,Grande Otelo
tt0236165,Marisa Urban
tt0236165,Maria Gladys
tt0236165,Fregolente
tt0236165,Mara Rúbia
tt0236165,Beatriz Veiga
tt0236165,José Lewgoy
tt0236165,Fábio Sabag
tt0236165,Plínio Marcos
tt0236165,Juju Batista
tt0236165,Martha La Paz
tt0236165,Joaquim Teodoro
tt0236165,Carlos Alberto de Souza Barros
tt0236165,Nonato Buzar
tt0236165,Paulo Sérgio Valle
tt0236165,Teresa Cristina
tt0236165,Arnaldo Weiss
tt0236165,Miguel Schneider
tt0236165,Kátia Beleza
tt0236165,Antônio Carlos
tt0236165,Cauby Peixoto
tt0065430,Nildo Parente
tt0065430,Isabel Ribeiro
tt0065430,Arduíno Colassanti
tt0065430,Irene Stefânia
tt0065430,Leila Diniz
tt0065430,Ana Maria Magalhães
tt0065430,Nelson Dantas
tt0065430,Manfredo Colassanti
tt0065430,José Kléber
tt0065430,Gabriel Archanjo
tt0065430,Marco Fernando Botino
tt0065430,Roberto Castro
tt0065430,Roberto Delachaume
tt0065430,Roberto Ferreira
tt0065430,Jose Paulo Gibrail
tt0065430,João José
tt0065430,Luiz Carlos Lacerda
tt0065430,Antonio Carlos Portela
tt0065430,Antonio Vidal
tt0065430,Ney Santanna
tt0191384,José Mendes
tt0191384,Leonora Corte Real
tt0191384,Dimas Costa
tt0191384,Darcy Fagundes
tt0191384,João Boeira
tt0191384,Themis Ferreira
tt0191384,Victor Melo Ferreira
tt0191384,Edison Acri
tt0191384,Adolar Costa
tt0191384,Eunice Conceição
tt0191384,Ivan Castro
tt0191384,José Camargo
tt0191384,Cleber Mercio
tt0191384,Geraldo Meireles
tt0191384,Nelson Silva
tt0191384,Luiz Muller
tt0191384,Ermindo Correa
tt0191384,Lutero Luiz
tt0191384,Doris Reis
tt0239306,John Herbert
tt0239306,Irene Stefânia
tt0239306,Chico Aragão
tt0239306,Rodrigo Santiago
tt0239306,Haroldo Costa
tt0239306,Myrian Muniz
tt0239306,Sílvio Rocha
tt0239306,Lélia Abramo
tt0239306,Fernando Baleroni
tt0239306,Beatriz Segall
tt0239306,Ferreira Leite
tt0239306,Sonia Braga
tt0239306,Sadi Cabral
tt0239306,Sílvio Zilbert
tt0239306,Walter Carlos
tt0239306,Glória Moreira
tt0239306,Zezé Motta
tt0239306,Vivien Mar
tt0239306,Eudósia Acuña
tt0239306,Irene Tereza
tt0239306,Djanira
tt0239306,Teresa Santos
tt0239306,Ida Gauss
tt0239306,Peirão de Castro
tt0239306,Sérgio Hingst
tt0239306,Arnaldo Weiss
tt0314817,Araci Esteves
tt0314817,Odilon Lopez
tt0314817,Francisco Silva
tt0314817,Amélia Bittencourt
tt0314817,Eduardo Braul
tt0314817,Vânia Brown
tt0314817,Carlos Carvalho
tt0314817,Luiz Fernando
tt0314817,Abraão Gabinski
tt0314817,Angela Grossier
tt0314817,Margarida Linera
tt0314817,Luiz Carlos Magalhães
tt0314817,César Magno
tt0314817,Eny Neves
tt0314817,Jorge Rosa
tt0189762,Sonia Braga
tt0189762,David Cardoso
tt0189762,Nilson Condé
tt0189762,Cláudia Mello
tt0189762,Roberto Orosco
tt0189762,Tony Penteado
tt0189762,Carlos Alberto Riccelli
tt0189762,Tereza Teller
tt0189762,Carlos Alberto
