movie_ID,directed_by
tt0261309,Tony Vieira
tt0239630,Lenita Perroy
tt0256455,Edward Freund
tt0201053,J.B. Tanko
tt0185737,Gustavo Dahl
tt0190662,Pedro Camargo
tt0159406,Anselmo Duarte
tt0424040,Tito Teijido
tt0192968,Denoy de Oliveira
tt0199944,Geraldo Sarno
tt0184321,Carlos Hugo Christensen
tt0182750,João Bennio
tt0187841,Roberto Farias
tt0187841,Hector Babenco
tt0200419,J.B. Tanko
tt0241013,Roberto Machado
tt0240714,Eduardo Llorente
tt0189654,Victor Lima
tt0424347,Raffaele Rossi
tt0241787,Flávio Ribeiro Nogueira
tt0242092,Carlos Imperial
tt0201812,Jece Valadão
tt0187840,C. Adolpho Chadler
tt0259968,Geraldo Affonso Miranda
tt0296671,Schubert Magalhães
tt0268237,Konstantin Tkaczenko
tt0423999,César Ladeira Filho
tt0437524,Heron D'Ávila
tt0331664,Neville de Almeida
tt0261038,Mozael Silveira
tt0259912,Roberto Mauro
tt0073082,Joaquim Pedro de Andrade
tt0189039,Antonio Carlos da Fontoura
tt0071479,José Mojica Marins
tt0186996,Victor di Mello
tt0189359,Walter Hugo Khouri
tt0203821,Alfredo Sternheim
tt0254804,Ary Fernandes
tt0191265,Carlos Manga
tt0191637,José Mojica Marins
tt0191209,Amácio Mazzaropi
tt0191209,Pio Zamuner
tt0200417,Pedro Carlos Rovai
tt0241313,Cláudio Cunha
tt0184246,Braz Chediak
tt0071137,Nelson Pereira dos Santos
tt0279245,Roberto Mauro
tt0250194,Ody Fraga
tt0192561,Paulo Thiago
tt0182879,Ozualdo Ribeiro Candeias
tt0184902,Carlos Coimbra
tt0241360,Mauricio Rittner
tt0260008,Geraldo Affonso Miranda
tt0250557,Ody Fraga
tt0256593,Carlos Alberto de Souza Barros
tt0191386,Fauzi Mansur
tt0260895,Tony Vieira
tt0443215,Rubens da Silva Prado
tt0438257,Cláudio MacDowell
tt0438257,Lenine Otoni
tt0438257,Adnor Pitanga
tt0159580,Alcino Diniz
tt0071921,Sérgio Ricardo
tt0443024,Rubens da Silva Prado
tt0176745,Silvio de Abreu
tt0274727,Antonio Bonacin Thome
tt20221906,Ozualdo Ribeiro Candeias
tt0179170,Bruno Barreto
tt0188004,Luiz Carlos Barreto
tt0400635,Saul Lachtermacher
tt0196810,Alberto Pieralisi
tt0159614,Élio Vieira de Araújo
tt0159614,Geraldo Affonso Miranda
tt0259829,Jurandyr Passos Noronha
tt0443265,Celso Falcão
tt0443265,Kleber Afonso
tt0437169,José Vedovato
tt0288268,Arthur Omar
tt0240799,Clery Cunha
tt0236689,J.B. Tanko
tt0241938,Carlos Imperial
tt0179824,Ana Carolina
tt0261188,Alberto Ruschel
tt0186859,Victor di Mello
tt0183622,Haroldo Marinho Barbosa
tt0260937,Nico Fagundes
tt0126968,Jorge Bodanzky
tt0126968,Orlando Senna
tt0145049,Eduardo Escorel
tt0073246,Hector Babenco
tt0235971,Jean Garret
tt0230455,Egídio Eccio
tt0239489,Perry Salles
tt0239489,Michael Sarne
tt0189476,Walter Hugo Khouri
tt0260904,Tony Vieira
tt0196693,André Luiz Oliveira
tt0191030,Flávio Migliaccio
tt0272577,Saul Lachtermacher
tt0236322,Jean Garret
tt0185978,Arnaldo Jabor
tt0203304,Alfredo Sternheim
tt0260781,J. Marreco
tt0241645,Adriano Stuart
tt0203487,Flávio Tambellini
tt0272050,Gilvan Pereira
tt0190292,Daniel Filho
tt0184869,Sindoval Aguiar
tt0184869,Braz Chediak
tt0182875,Rubem Biafora
tt0159372,Alcino Diniz
tt0241420,Carlos Imperial
tt0255815,Waldir Onofre
tt0184447,Braz Chediak
tt0201533,Zelito Viana
tt0250724,Ody Fraga
tt0191208,Amácio Mazzaropi
tt0191208,Pio Zamuner
tt0176587,Silvio de Abreu
tt0176587,John Herbert
tt0176587,Adriano Stuart
tt0184440,Carlos Hugo Christensen
tt0071757,Carlos Reichenbach
tt0444948,J. Figueira Gama
tt0437687,José Vedovato
tt0260816,Carlo Mossy
tt0188168,Reginaldo Faria
tt0254723,Ary Fernandes
tt0275428,Paulo Roberto Martins
tt0440699,Lenine Otoni
tt0184758,Carlos Hugo Christensen
tt0193309,Phydias Barbosa
tt0193309,Domingos de Oliveira
tt0193309,Tereza Trautman
tt0258066,Cláudio MacDowell
tt0440397,Osíris Parcifal de Figueroa
tt0190982,Carlos Manga
tt0240474,Olivier Perroy
tt0242095,Roberto Machado
tt0273424,Ody Fraga
tt0201269,J.B. Tanko
tt0272838,Egídio Eccio
tt0181760,Miguel Borges
tt0077452,Bruno Barreto
tt0260893,Jean Garret
tt0191200,Fauzi Mansur
tt0074499,Marcelo Motta
tt0074499,José Mojica Marins
tt0078512,Carlos Diegues
tt0186250,Anselmo Duarte
tt0186250,John Herbert
tt0186250,Adriano Stuart
tt0260089,Roberto Mauro
tt0236627,Jean Garret
tt0139822,Sylvio Back
tt0272554,José Mojica Marins
tt0241216,Adriano Stuart
tt0279354,Ody Fraga
tt0191315,Fauzi Mansur
tt0186389,Anselmo Duarte
tt0186389,José Miziara
tt0186389,Jece Valadão
tt0186389,Harry Zalkowitsch
tt0261055,Carlo Mossy
tt0279247,Francisco Cavalcanti
tt0279247,Ozualdo Ribeiro Candeias
tt0279247,José Mojica Marins
tt0279247,Alex Prado
tt0279247,Alfredo Scarlat
tt0139656,J.B. Tanko
tt0240416,Dionísio Azevedo
tt0184814,Carlos Alberto Prates Correia
tt0260177,Jeremias Moreira Filho
tt0241940,Carlos Imperial
tt0198390,Luiz Paulino Dos Santos
tt0261361,Tony Vieira
tt0272238,Roberto Mauro
tt0186438,Antônio Calmon
tt0074677,Rose Lacreta
tt0260357,Mozael Silveira
tt0241716,Oswaldo de Oliveira
tt0181590,Astolfo Araujo
tt0181590,Cecil Thiré
tt0261364,Tony Vieira
tt0191298,Fauzi Mansur
tt0279349,Raffaele Rossi
tt0243284,Ismar Porto
tt0240491,Clery Cunha
tt0442223,Vera de Figueiredo
tt0187855,Reginaldo Faria
tt0321377,José Sette
tt0272581,Rajá de Aragão
tt0443992,Nilo Machado
tt0260378,Roberto Mauro
tt0442191,Carlos Alberto Almeida
tt0274927,Lula Campelo Torres
tt0159804,Geraldo Affonso Miranda
tt0272051,Adnor Pitanga
tt0191385,Pereira Dias
tt0241935,Geraldo Vietri
tt0272797,Sebastiao de Souza
tt0272916,Luiz Antônio Piá
tt0261714,Mário Carneiro
tt0254367,Egídio Eccio
tt0254367,Ary Fernandes
tt0254367,Alfredo Palácios
tt0241967,Cláudio Cunha
tt0241848,Luiz Castellini
tt0241848,Antonio Polo Galante
tt0077878,Hector Babenco
tt0074683,José Mojica Marins
tt0241418,Antonio Meliande
tt0260857,David Cardoso
tt0261112,Jean Garret
tt0080004,Nelson Pereira dos Santos
tt0140016,Silvio de Abreu
tt0177424,Silvio de Abreu
tt0186158,Antônio Calmon
tt0201421,Jece Valadão
tt0259998,J. Marreco
tt0247989,Jom Tob Azulay
tt0187187,Maurice Capovilla
tt0139655,J.B. Tanko
tt0136690,Rogério Sganzerla
tt0241574,Oswaldo de Oliveira
tt0260690,Tony Vieira
tt0279246,Francisco Cavalcanti
tt0241366,Roberto Machado
tt0308133,Alcino Diniz
tt0233065,Amácio Mazzaropi
tt0233065,Pio Zamuner
tt0278021,Mozael Silveira
tt0189886,Walter Hugo Khouri
tt0274022,Renato Santos Pereira
tt0186008,Anselmo Duarte
tt0187710,Reginaldo Faria
tt0444889,Oswaldo de Oliveira
tt0260356,Roberto Mauro
tt0437203,José Vedovato
tt0443282,Célio Azevedo
tt0443282,Celso Falcão
tt0296495,Oswaldo Caldeira
tt0261457,Carlo Mossy
tt0188522,Antonio Carlos da Fontoura
tt0242039,Geraldo Vietri
tt0191003,Fauzi Mansur
tt0443273,Jairo Ferreira
tt0269592,Milton Barragan
tt0443006,Rubens da Silva Prado
tt0187324,Victor di Mello
tt0257243,Carlos Alberto de Souza Barros
tt0275325,Geraldo Gonzaga
tt0444356,Salvador Amaral
tt0241867,Geraldo Vietri
tt0260213,Jeremias Moreira Filho
tt0137283,Francisco Ramalho Jr.
tt0424334,César Ladeira Filho
tt0441980,Guga de Oliveira
tt0279398,Antonio Bonacin Thome
tt0077393,Neville de Almeida
tt0078845,José Miziara
tt0189950,Walter Hugo Khouri
tt0236215,Walter Hugo Khouri
tt0261088,Antonio Bonacin Thome
tt0186394,Antônio Calmon
tt0233972,Berilo Faccio
tt0233972,Pio Zamuner
tt0241172,Cláudio Cunha
tt0077420,José Mojica Marins
tt0260911,Jean Garret
tt0075112,Ruy Guerra
tt0075112,Nelson Xavier
tt0261346,José Vedovato
tt0260708,Antonio Bonacin Thome
tt0144783,Paulo Thiago
tt0261042,Carlo Mossy
tt0286061,Raffaele Rossi
tt0261107,John Doo
tt0185733,Arnaldo Jabor
tt0331057,Ary Fernandes
tt0323575,José de Anchieta
tt0279373,Raffaele Rossi
tt0201809,Alex Viany
tt0261087,Antonio Pitanga
tt0261342,Carlo Mossy
tt0278914,José Miziara
tt0179964,Ana Carolina
tt0195360,Adriano Stuart
tt0241350,Antonio Meliande
tt0241177,Alberto Pieralisi
tt0441311,Luiz Antônio Piá
tt0250689,Ody Fraga
tt0278698,Mozael Silveira
tt0273574,Juan Bajon
tt0260175,Victor di Mello
tt0260175,Lenine Otoni
tt0204298,José Miziara
